No.,Question,Domain_최종,,,,
109,수익자에게 압류 설정된 계약을 계약자가 제지급 신청 가능한가요?,제지급,,,,
110,계약자가 지급중지 설정한 계약의 중도보험금을 수익자가 신청 가능한가요?,제지급,,,,
111,EWS가 뭔가요?,제지급,,,,
112,EWS 대상 본인인증 신분증 인증 가능한가요?,제지급,,,,
113,청구권자가 미성년자인 경우 제지급 신청권자는?,제지급,,,,
114,청구권자가 외국인인 경우 제지급 대출 신청 우편접수 서류는?,대출,,,,
115,"청구권자가 성년 후견인인 경우(의식불명, 치매 등) 우편 신청시, 신청권자와 필요 서류는?",제지급,,,,
116,대출 전화 접수 시 한도금액은?,대출,,,,
117,AIA+에서 대출접수 한도는,대출,,,,
118,전화제지급 신청할 때 본인명의휴대폰인증을 필수로 해야하는 금액은,제지급,,,,
119,외화 제지급 신청할 때 본인명의휴대폰인증과 신분증인증 둘 다 해야 하는 금액은 얼마야?,제지급,,,,
120,청구자가 군인일때 대출을 우편으로 신청 시 필요한 구비서류,대출,,,,
121,계약자가 미성년자인데 편부모인 경우 제지급 지급계좌 친권자 계좌로 받을 때 방법,제지급,,,,
122,정액상환도 부분출금이 되나요?,제지급,,,,
123,"보험계약대출 전화 신청시, 본인인증 방법은?",대출,,,,
124,"APL 등록 중, 약관대출 가능금액 부족으로 실효가 되었습니다. 부활 후에도 APL유지되나요? ",대출,,,,
125,"보험계약대출 개인정보 제3자 제공'은 누구에게, 왜 하나요?",대출,,,,
126,"보험계약대출 시, 세금이 있나요?",대출,,,,
127,기 약관대출금이 있는 경우에는 APL 발생시 1회분 보험료와 이자를 합산하여 자동 대출이 발생 되는 건가요?,대출,,,,
128,APL 최초 자동 대출 월로부터 1년 이후 재 신청은 무엇 인가요?,대출,,,,
129, APL 이 신청되면 보험료 자동이체도 계속 청구되나요?,대출,,,,
130,APL 대출은 대출 이자를 어떻게 납입을 하나요?,대출,,,,
131,전화로 대출 신청 시 후대폰인증과 신분증인증 모두 다해야하는 금액은 얼마부터야?,대출,,,,
132,납입면제 계약은 대출이 가능한가,대출,,,,
133,AIA+대출신청 한도가 얼마야?,대출,,,,
134,친형의 계좌로 대출신청금을 받을 수 있나요?,대출,,,,
135,법인계약 건 대출 신청시 구비서류 알려주세요. 직원이 신청할 경우입니다,대출,,,,
136,경영인안심정기보험의 대출가능한도는?,대출,,,,
137,2020년 11월 9일 변액보험 대출 신청 시 지급시간?,대출,,,,
138,변액보험 대출 신청은 취소가 가능할까,대출,,,,
139,방카채널 외화보험 대출을 전화로 신청할 수 있나요,대출,,,,
140,외화상품 대출 시 어떤 용도일때 가능한지 알려줘,대출,,,,
141,미국달러보험 전화대출 접수 시 당일지급되려면 몇시까지 접수 되어야 하나?,대출,,,,
142,2005년 10월 계약인데 실효가 되었어. 기대출금이 있었는데 이자가 미납되고 있어서 납부하려고 하는데 어떻게 해야 돼?,대출,,,,
143,대출 인지세는 누가 부담하나요?,대출,,,,
144,계약대출 1억원 신청하면 인지세가 얼마야?,대출,,,,
145,총 신청금액으로 인지세는 계산되니?,대출,,,,
146,대출 청약철회가 뭔가요?,대출,,,,
147,"오늘 자동이체 통장에서 이체되는 날인데, 보험을해약하면 보험료 반환은? ",계약해지,,,,
148,"계약자가 미성년자인데, 엄마가 전화로 해약을 요청했어. 엄마계좌로 해약환급금 지급이 가능할까? 통신계약이야",계약해지,,,,
149,해약할 때 타인을위한프로세스 체크는 어떨때 하는거지?,계약해지,,,,
150,법인계약 해약 신청시 구비서류는? 대표자가 신청할때,계약해지,,,,
151,APL 사용계약 해약이 불가한가?,계약해지,,,,
152,언제 계약건부터 통신수단해지 여부 상관없이 해약접수 가능한지 알려줘,계약해지,,,,
153,스탭업변액연금은 해약 할 때 변액제지급 기준인가요?,계약해지,,,,
154,변액보험도 해지접수하면 MP에게 문자 발송되나요?,계약해지,,,,
155,일반상품인데 자동이체일 다음날 계약해지하면 보험료 반환되나요?,계약해지,,,,
156,자동이체일 다음날 계약해지하면 보험료 반환 안되나요?,계약해지,,,,
157,소멸시효완성일은 언제야?,계약해지,,,,
158,휴면보험금 전화 접수할 때 수령계좌는 본인계좌만 아능할까?,제지급,,,,
159,해약할때 관계확인서류 기존에 징구된 내용인 있다면 면제 되나요?,제지급,,,,
160,당사에서 안내한 휴면보험금 금액과 서민금융진흥원을 통해 접수해서 지급받은 금액이 차이가 나는데 왜 그럴까요?,제지급,,,,
161,서민금융통합 콜센터 번호 알려줘,제지급,,,,
162,해지 접수 된 건 취소 가능하죠? 아직 고객에게 송금 전이야,계약해지,,,,
164,납입면제된 계약도 해약때 보험료 납입한 것과 동일하게 해지환급금이 발생하는지 아니면 납입면제 되기 전까지  고객이 실제 납입한 보험료를 기준으로 해지환급금이 산출되는지? ,계약해지,,,,
166,현재 계약자가 정신치료 감호소 수감 중입니다. 계약을 해약하려면 어떻게 해야할까?,계약해지,,,,
167,"계약자가 유지중에 국적이 변경되었는데, 계약해지를 하려고 하는데 바로 접수해도 될까? ",계약해지,,,,
168,"계피 상이한 계약인데, 피보험자가 사망했어. 사망보장은 없는 계약인데 이 계약을 정리하려면 어떻게 해?",계약해지,,,,
169,사망 수익자 란에 “00은행”으로 되어 있습니다. 어떤경우 인가요? 처리가능 한가요?  ,제지급,,,,
170,"청구권자인 계약자 사망으로 해지하는 경우, 1인을 제외한 다른 모든 상속인이 상속 포기한 경우 구비서류 ",계약해지,,,,
172,파산관재인 인입하여 해지 문의 시 어떤 서류가 필요한가요? ,계약해지,,,,
173,피보험자가 사망했는데 계약에서 보장되는 항목은 없는 상태야. 계약은 어떻게 돼? ,계약해지,,,,
174,청약철회를 이메일로 접수할수 있나요?,제지급,,,,
175,청약철회 취소접수 방법 알려줘. 전화로접수한 건이야,제지급,,,,
176,청약철회 기간 내 계약자 변경되어 계약자의 연령이 변경 된 경우 철회가능기간도 변경되나요?,제지급,,,,
177,청약철회 기간 내 계약자 변경으로 계약자의 직업이 전문보험계약자로 변경된 경우 철회가 불가한가요?,제지급,,,,
178,"계약자 사망으로 상속인이 전화로 청약철회 요청 시, 구비서류는?",제지급,,,,
179,2025년 통신채널 계약 청약철회 가능 기간은?,제지급,,,,
180,청약철회 불가 대상은?,제지급,,,,
181,"일반상품 초회보험료 계좌입금했는데, 청약철회 접수하고 언제 반환되는지?",제지급,,,,
182,청약철회에 대한 지연이자도 발생하나요?,제지급,,,,
183,AIA+에서 청약철회 접수 가능한지?,제지급,,,,
184,AIA+에서 청약철회 신청 후 “대상 건이 없습니다”라는 팝업이 뜨는 경우?,제지급,,,,
185,청약철회한 보험료 반환되면 통장에 어떻게 표기되나요,제지급,,,,
186,청약철회되면 계약상태코드가 어떻게 돼?,제지급,,,,
187,청약철회 빠른지급요청건으로 접수하면 언제 지급되나요,제지급,,,,
188,청약철회 접수하고 당일 중에 빨리 지급받으려면 몇시까지 접수해야 돼?,제지급,,,,
189,대면채널 외화상품은 철회접수하면 언제까지 지급 돼?,제지급,,,,
190,초회보험료를 카드로 납부한 계약은 철회하면 카드승인 취소인가? 아니면 현금 반환인가?,제지급,,,,
191,중도보험금을 늦게 받아서 이자가 붙었다면 지급할 때 세금을 떼나요? ,제지급,,,,
192,"전화로 중도인출 요청 시, 최대 한도는?",제지급,,,,
193,AIA 달러로 받는 연금보험의 중도 인출 가능 금액과 가능 횟수는?,제지급,,,,
194,2011년 11월 1일 계약한 변액보험이데 실효예정건이면 중도인출 할 수 없나요? ,제지급,,,,
195,미국 시민권자인데 중도인출 전화로 신청 가능한가요?,제지급,,,,
196,"개인사업자 계약인데 중도인출을 전화로 접수할거야, 전화로 어떻게 접수 받아? ",제지급,,,,
197,중도인출 수수료도 있나요?,제지급,,,,
198,리얼라이프플랜서비스가 뭐지?,제지급,,,,
199,리얼라이프플랜서비스 이용하면서 추가로 중도인출 할 수 있나요?,제지급,,,,
200,기대출금액이 중도보험금 금액보다 크면 중도보험금 신청을 할 수 없나? ,제지급,,,,
201,중도급부 존재 상품중 중도급부 미지급 상태에서 수익자 변경 가능한지? ,제지급,,,,
202,중도보험금 자동송금 신청 가능 조건은?,제지급,,,,
203,"중도보험금이 발생하기 전에 만기수익자가 사망하였고, 현재 중도보험금 발생으로 청구하려고 할때 필요한 서류가 뭘까?  ",제지급,,,,
204,만기보험금도 ARS에서 신청 가능한가?,제지급,,,,
205,만기보험금 지급일자가 경과되어 미지급 만기보험금 존재 시 만기 수익자 변경 가능한지?,제지급,,,,
206,"전화로 배당급 접수시, 최대 신청 한도는?",제지급,,,,
207,배당금 지급 가능 계좌는?,제지급,,,,
208,GOLDEN CHOICE 연금보험 자기관리자금 지급거절제도가 뭐지? 신청하는 방법이나 조건도 알려줘,제지급,,,,
209,골든초이스연금보험의 자기관리자금지급일이 어떻게 돼?,제지급,,,,
210,골든초이스연금 계약에 자기관리자금 지급 거절신청 기한은?,제지급,,,,
211,골든초이스연금보험 자기관리자금 지급거절신청은 누가 해야돼?,제지급,,,,
212,배당금은 신청을 누가 해야돼? ,제지급,,,,
213,배당금 적립이율을 홈페이지에서 볼 수 있나요,제지급,,,,
214,비거주자 이자소득 원천징수 변경을 위한 구비서류는?,제지급,,,,
215,송금계좌로 자동 등록되는 기준조건이 뭐야?,제지급,,,,
216,송금계좌 자동등록 조건에서 이체실적은 보험료를 말하는 건가? ,제지급,,,,
217,"법인계약 송금계좌 전화 신청 시, 필요한 것은?",제지급,,,,
218,법인계약 송금계좌 신청시 우편구비서류가 어떤거야?,제지급,,,,
219,미성년자 계약 AIA+에서 송금계좌 등록 가능한지?,제지급,,,,
220,리얼라이프플랜 자금도 자동송금 신청 가능한가? ,제지급,,,,
221,종신연금형_보증기간부 상품의 자동송금 신청 가능 시점은?,제지급,,,,
222,상속형 연금 상품의 자동송금 신청 가능 시점은?,제지급,,,,
223,자동송금계좌 등록 전화 신청 할때 필요한 게 있어? ,제지급,,,,
224,비거주자의 이자소득 원천징수 적용 업무는?,제지급,,,,
225,미성년자 계약인데 우편으로 송금계좌 신청하려고 해. 어떤 서류가 필요해?,제지급,,,,
226,외화계좌를 송금계좌로 등록하고 싶을때 어떻게해,제지급,,,,
227,상속형연금도 자동송금등록이 가능한가?,제지급,,,,
228,상속형연금은 자동송금을 왜 1년마다 재신청해야 돼?,제지급,,,,
229,자동송금으로 지급된 건은 전산에 어떻게 표기돼?,제지급,,,,
230,만기수익자도 송금계좌 등록이 가능한가요?,제지급,,,,
232,은행에 내방해서 송금계좌 신청을 할 수 있나요?,제지급,,,,
233,AIA+에서 송금계좌등록이 가능한가?,제지급,,,,
234,송금계좌는 몇 개까지 등록할 수 있나?,제지급,,,,
235,법인계약으로 자동송금 우편신청방법 알려줘,제지급,,,,
236,비거주자 판정기준표 징구 대상자는?,제지급,,,,
237,비거주자 판정기준표 징구 적용 업무는 무엇?,제지급,,,,
238,비거주자 판정 대상자 구비서류는 무엇인가,제지급,,,,
239,재사수익자 은행에서 개인으로 변경할 때 우편접수에 필요한 서류는?,명의변경,,,,
240,"중도급부 발생 전에 만기수익자 사망했고, 급부 발생 이후에 만기수익자 변경할 때 필요한 서류는 무엇인지?",명의변경,,,,
241,공공기관제출용 수익자 명의변경사실 확인서 발행을 전화 신청 방법은?,명의변경,,,,
242,부부인데 호적에는 안올렸는데 계약자 또는 수익자 변경 가능한지?,명의변경,,,,
243,계약자가 미성년자 이고 계약자 변경을 할때 현재 엄마 아빠 연락이 안 되는데 인감증명서를 둘 다 꼭 받아야 하는지?,명의변경,,,,
244,"계약자변경 시 기존 계약자가 재외국민일 때, 우편접수 서류에 뭐가 추가되는지?",명의변경,,,,
245,"현재 계약자 : 미혼모 엄마
피보험자 : 자녀
이런 계약의 계약자, 만기수익자, 사망수익자를 피보험자의 외조부로 변경 가능한지 ?",명의변경,,,,
246,"계약자는 아빠이고, 피보험자가 미성년 자녀인데, 
부모 이혼하여 친권자는 아빠로 되어있어. 이럴때 엄마를 수익자 또는 계약자로 변경 가능한지 ?",명의변경,,,,
247,제3자가 본사 방문하여 계약자 변경할 경우 서류는?,명의변경,,,,
248, 재사수익자 상속비율을 변경하는 경우에도 수익자 변경 구비서류가 모두 필요한지?,명의변경,,,,
249,재사 수익자는 최대 몇 명까지 지정 가능하나요? ,명의변경,,,,
250,계약자가 가출 (또는 실종)하여 계약자를 변경하고자 하는 경우 어떻게 하는지?,명의변경,,,,
251,현재 계약자가 정신장애 1급 판정을 받은 상태라서 계약자 변경을 하려고 하는데 필요한 우편 서류가 뭘까? ,명의변경,,,,
252,"미국 영주권자인 자녀를 사망수익자로 변경 요청하는 경우로, 전산에는 호적상 주민번호로  등록되어있지만 외국인등록번호로 사망수익자 지정 요청 시 구비서류는?",명의변경,,,,
253,저축성보험을 법인에서 개인으로 계약자 변경 시 비과세 기간 계산은 최초 계약일 기준인가요? ,명의변경,,,,
254,"명의변경 하려고 하는데, 계약자가 사망한경우 가족관계 증명서를 반드시 사망자 이름으로 발급받아야만 하나요?",명의변경,,,,
255,명의변경 서류를 받았는데 인감증명서의 이름과 전산에 이름이 두음법칙으로 다른 경우 어떻게 해야 돼? ,명의변경,,,,
256,"제3자로 상해나 사망 수익자 변경 시, 변경 후 수익자가 현재 계약자와 동일 할 경우",명의변경,,,,
257,지정대리인이 신청 할 수 있는 업무는 무엇이 있나?,명의변경,,,,
258,지정대리인이 만기보험금 청구 시 고객거래확인서는 누구의 기준으로 작성하나요? ,명의변경,,,,
259,"재상수익자가 공란(미 지정) 또는 ""피보험자""로 기재 되어 있을 경우 바로 지정대리청구인 서비스 특약 부가 가능한가요?",명의변경,,,,
260,종피험자 보유 상품의 경우 지정대리청구인을 등록 한가요?,명의변경,,,,
261,보험금 청구 시 지정대리인의 통장으로 수령 가능한가요?,명의변경,,,,
262,지정대리인이 보험금 청구를 할때 필요한 서류는?,명의변경,,,,
263,피보험자의 삼촌으로 지정대리청구인을 지정할 수 있나요?,명의변경,,,,
264,지정대리청구인 신청 가능 조건은?,명의변경,,,,
265,만기환급금이 없는 계약은 지정된 만기수익자가 없어도 지정대리청구인 등록이 가능할까?,명의변경,,,,
266,피보험자가 교통사고로 뇌수술을 했는데 뇌사판정을 받았어. 지정대리청구인이 피보험자를 대신해서 입원비 수술비 보험금청구를 할 수 있나요? ,명의변경,,,,
267,지정대리청구인이 보험금을 본인 계좌로 수령할 수 있나요?,명의변경,,,,
268,피보험자가 치료 도중 사망한 경우 지정대리청구인인 사망보험금도 청구할 수 있을까요?,명의변경,,,,
270,신계약 1개월 이내에 상해수익자를 피보험자 본인으로 변경할 때 필요한 서류가 뭐야,명의변경,,,,
271,개인신용정보활용동의녹취 내용을 알려줘,명의변경,,,,
272,1개월이내 수익자변경은 언제까지 신청 가능한가,명의변경,,,,
273,1개월이내 만기수익자를 미국인으로 변경할 때도 1개월이내수익자변경 프로세스 적용될까?,명의변경,,,,
274,지정대리청구인 지정할 수 있는 범위로 3촌 이내 친족은 어느범위까지를 말하는거야?,명의변경,,,,
275,계약자를 변경해도 지정대리인은 그대로 유지되는 것인가?,명의변경,,,,
276,이미 등록되어 있는 지정대리인을 변경할 수 있나요,명의변경,,,,
277,지정되어 있는 지정대리인을 삭제할 수 있나?,명의변경,,,,
278,지정대리인 삭제를 우편으로 할때 필요한 서류가 뭐야?,명의변경,,,,
279,"계약자, 피보험자 만기수익자 모두 계약자와 동일한데, 재상수익자만 공란으로 되어 있는 상태일 때 지정대리청구인 등록을 할 수 없나요?",명의변경,,,,
280,자동부활 보험료 납입 시 본인계좌 이외에도 가능한지?,계약정보,,,,
281,"자동부활로 계약자 내방 하였으나, 피보험자 수익자의 주소정보가 등록되어 있지 않은 것으로 전산 표시되는 경우 어떻게 처리 하나요?",계약정보,,,,
282,"소멸시효 경과 건 자동부활 요청 시, 대응방법은?",계약정보,,,,
283,계약자에게 미납안내가 된 경우 미납안내완료로 보나요?,계약정보,,,,
284," 미납안내를 아웃 바운드 팀에서는 예금주나 피보험자에게도 안내하고 있는데, 이것도 미납안내 수신완료로 보나요? ",계약정보,,,,
285,"계약자가 미성년자일 경우 부, 모 모두에게 연체안내가 되어야만 연체안내가 된 걸로 인정이 되나요?",계약정보,,,,
286,미납안내는 이루워지지 않았으나 실효 이후 진단을 받았어도 상관없나요?,계약정보,,,,
287,"전화상으로 미납안내 받은 적이 없는 건이데, 계약자가 스스로 실효가 된 걸 알고 자동부활 요청하는데 가능할까? ",계약정보,,,,
288,"실효 된지 1년 넘은 계약인데, 미납안내도 해지통지도 반송안내까지 모두 받지 못한 경우에도 자동부활 기한이 정해져있나요?",계약정보,,,,
289,알림톡을 통해서만 미납안내 받은 경우 자동부활 안 되나요?,계약정보,,,,
290,해지우편물이 AIA생명으로부터 오긴 했으나 내용확인 하지 않고 폐기 했다고 했을 경우에는 수령으로 봐야 하는지요?,계약정보,,,,
291,실제 거주지와 행정상의 주소지가 틀린 경우 해지안내장미수령시 어떻게 해야하나요?,계약정보,,,,
292,주민등록초본으로 이사 날짜가 확인 가능한가요?,계약정보,,,,
293,주민등록초본 사본 처리 가능한가요? ,계약정보,,,,
294,카카오톡 전자문서로 aia생명에서 보내는게 있나요?,계약정보,,,,
295,실효안내문 등기배송 조회 어디서 하는지?,계약정보,,,,
296,자동부활이 뭐야,계약정보,,,,
297,2013년 7월 5일에 가입한 우리가족변액종신 계약인데 자동부활 가능할까? ,계약정보,,,,
298,"자동부활 가능 기한이 경과되어 일반부활 안내 하였으나, 거부하고 자동부활 요구하는 경우 방법?",계약정보,,,,
299,자동부활 보험료 입금일자에 따라 부활처리 일자 달라지는지?,계약정보,,,,
300,부활 청약을 한 당일에 부활 보험료를 입금해야 하나요? 다음날 입금하면 어떻게 되나?,계약정보,,,,
301,일반부활도 심사 후 거절 될 수 있나요?,계약정보,,,,
302,일반부활 가능 기간이 어떻게 되나요?,계약정보,,,,
303,일반부활 접수 방법은?,계약정보,,,,
304,일반부활 전화접수하는데 계약자가 미성년자이면 친권자 전화녹취로 가능할까?,계약정보,,,,
305,필리핀에 체류중인데 부활가능한가요?,계약정보,,,,
306,계약자가 법인일 때 일반부활 방법,계약정보,,,,
307,일반부활보험료 즉시출금 하려고 하는데 계약자 명의 계좌가 아니어도 가능한지?,계약정보,,,,
308,부활보험료를 분할해서 납부할 수 있는 서비스가 있는지 알려줘,계약정보,,,,
309, 계약자 또는 피보험자가 해외 체류 중인경우에는 일반부활 청약이 가능한가요?,계약정보,,,,
310,부활 반송되면 기납입 보험료 다 돌려주는지 문의한 경우 ,계약정보,,,,
311,부활 후 증권 재발행이 되나요?,계약정보,,,,
312,계약자가 교도소 수감중인데 일반부활 접수 가능할까? 계약자와 피보험자가 같은 사람이야,계약정보,,,,
313,"직업,운전 통지 상품은 부활 접수 전에 직업운전 변경 되었으면 직무직종 통지해야 하나요",계약정보,,,,
314,부활접수 중인데 동일직업으로 근무지만 변경된 경우 직무직종 통지 후에 부활 접수 가능한가요?,계약정보,,,,
315,"꼭 필요한 건강보험 일반 부활 시 메디컬 언더라이팅 3개 질문 중 1개라도 ""예""가 있는 경우에는 부활접수 되는지요?",계약정보,,,,
316,신계약 청약시 대표친권으로 진행 안했는데 부활 시 대표친권으로 처리 가능한지?,계약정보,,,,
317,방카채널 가입건도 전화로 부활 가능한가요?,계약정보,,,,
318,계약자가 법인인데 전화로 일반부활 신청이 가능할까?,계약정보,,,,
319,현명한엄마가 고른 AIA어린이보험 피보험자가 태아인 경우에 부활 접수 되나요?,계약정보,,,,
320,"청약 당시에는 내국인이었는데, 현재는 계약자 미국시민권자야. 이경우 일반부활 접수 가능할까?",계약정보,,,,
321,"청약 당시에도 미국시민권자였다면, 일반부활 신청이 가능한거야?",계약정보,,,,
322,일반부활보험료도 카드로 결제 가능한가요?,계약정보,,,,
323,일반부활 시 보장개시일은 어떻게 적용되나요?,계약정보,,,,
324,"어린이보험인데 부활 시 직업이 대학생으로 변경되어, '피보험자의 직업코드를 확인하십시오'라는 메시지가 팝업되는 경우 어떻게 해?",계약정보,,,,
325,지정한 자동이체 일에 이체가 안 되면 또 언제 출금이 되는지요?,보험료납입,,,,
326,은행에서 자동이체 등록 시 언제 이체가 되나요?,보험료납입,,,,
327,외국인이 국내 계좌 개설 가능하나요? 이 통장으로 자동이체도 가능 하나요?,보험료납입,,,,
328,"기 승인 받은 계좌인데, 예금주 성명이 개명 되었습니다 .기 승인 계좌로 인식되나요?",보험료납입,,,,
329,휴대폰소액결제로 추가납입 보험료도 결제되나요?,보험료납입,,,,
330,휴대폰소액결제로 부활보험료도 결제되나요?,보험료납입,,,,
331,당사에 보험이 여러건이면 휴대폰소액결제도 합산출금 되나요?,보험료납입,,,,
332,휴대폰 결제 내역에 표기되는 문구는 어떻게 되나요 ?,보험료납입,,,,
333,소액결제 시 인증번호 받고 이러한 절차는 없나요 ?,보험료납입,,,,
334,휴대폰소액결제 납입자가 모집인인 경우 기준은 자동이체와 동일한가요?,보험료납입,,,,
335,휴대폰소액결제 자동이체 연결에 대한 동의는 최초 1회 받으면 되나요?,보험료납입,,,,
