No.,목차,도메인,질문수,대표질문,질문예시1,질문예시2,질문예시3
18,명의정정,명의변경,11,"미국 영주권자인 자녀를 사망수익자로 변경 요청하는 경우로, 전산에는 호적상 주민번호로 등록되어있지만 외국인등록번호로 사망수익자 지정 요청 시 구비서류는?","미국 영주권자인 자녀를 사망수익자로 변경 요청하는 경우로, 전산에는 호적상 주민번호로 등록되어있지만 외국인등록번호로 사망수익자 지정 요청 시 구비서류는?","종피보험자 주민번호 정정할때도, 보험료 변동이 발생하나요?",주민번호정정 전화접수 할때 필요한 서류가 있나요?
19,연금전환 서비스,연금,11,아직 상환이 덜 된 계약대출금이 있어도 연금전환이 가능한가?,아직 상환이 덜 된 계약대출금이 있어도 연금전환이 가능한가?,연금전환 가능한 조건 알려줘,연금전환 신청을 전화접수 할 수 있나?
20,소득공제 납입 증명서 발급,증명서 안내장,11,피보험자 명의로 소득공제발행 가능한가요,피보험자 명의로 소득공제발행 가능한가요,계약자와 피보험자 따로 소득공제증명서 발행이 가능한가,고지의무위반으로 해약환급금 또는 기납입보험료 반환된 계약도 소득공제증명서 발행이 가능한가
21,실손보험료 환급신청,제지급,10,법인계약도 실손보험료 환급제도 적용이 되나요,법인계약도 실손보험료 환급제도 적용이 되나요,실손보험료 환급 신청 조건이 뭔가요,실손보험료환급 신청 후 반환은 얼마만에 되나요
22,(면대면채널)연장 정기,계약정보,9,연장정기가 무엇인가요?,연장정기가 무엇인가요?,연장정기 가능한 조건은?,연장정기 전화접수 시 필요한 서류는?
23,민원,민원,9,계약자 아닌 제3자가 민원접수 요청하면 어떻게 해?,계약자 아닌 제3자가 민원접수 요청하면 어떻게 해?,계약자가 당사 활동 모집인인 경우에 민원접수 가능한지?,"자동부활 가능 기한 경과 건 일반부활 안내 하였으나, 거부하고 자동부활 요구하는 경우에는?"
24,즉시출금,보험료납입,9,보험료 즉시이체 납입자 범위는?,보험료 즉시이체 납입자 범위는?,저축성 상품도 카드 RTB 가능한가요?,즉시이체는 아무때나 가능한가요?
25,해지접수,계약해지,8,"오늘 자동이체 통장에서 이체되는 날인데, 보험을해약하면 보험료 반환은?","오늘 자동이체 통장에서 이체되는 날인데, 보험을해약하면 보험료 반환은?",해약할 때 타인을위한프로세스 체크는 어떨때 하는거지?,법인계약 해약 신청시 구비서류는? 대표자가 신청할때
26,자동송금신청,제지급,8,중도보험금 자동송금 신청 가능 조건은?,중도보험금 자동송금 신청 가능 조건은?,리얼라이프플랜 자금도 자동송금 신청 가능한가?,종신연금형_보증기간부 상품의 자동송금 신청 가능 시점은?
27,재고지 접수/ 보완,신계약 미결,7,건강 재고지 접수 가능기간은? 통신채널 건이야,건강 재고지 접수 가능기간은? 통신채널 건이야,대면채널 계약 우편으로 자필서명재고지 하는 방법은?,실효상태에서 재고지 가능한가요?
28,중도인출,제지급,7,"전화로 중도인출 요청 시, 최대 한도는?","전화로 중도인출 요청 시, 최대 한도는?",AIA 달러로 받는 연금보험의 중도 인출 가능 금액과 가능 횟수는?,2011년 11월 1일 계약한 변액보험이데 실효예정건이면 중도인출 할 수 없나요?
29,카드 자동이체,보험료납입,6,보장성보험은 대면채널이어도 카드 자동이체 다 되는거지?,보장성보험은 대면채널이어도 카드 자동이체 다 되는거지?,개인사업자 카드로 자동이체 등록할 때 필요한 서류가 있어?,자동승계카드 종류 알려줘
30,(면대면채널) MP이관,설계사,6,담당 MP가 없는데 반드시 지정하지않아도 되는 것인지?,담당 MP가 없는데 반드시 지정하지않아도 되는 것인지?,실효상태에서 MP지정 문의 시?,MP가 본인 계약 건 본인으로 이관 요청시?
31,납입주기변경,계약정보,5,납입주기변경은 누가 신청할 수 있나요?,납입주기변경은 누가 신청할 수 있나요?,납입주기를 월납에서 6개월납으로 변경하려면 현재 납입횟차가 어떻게 되어 있어야 하는지?,납입주기 변경이 불가능한 조건이 있나요?
32,실손보험 의료급여 수급권자 확인,계약정보,5,의료급여수급권자는 보험료 할인이 되는 제도가 있다는데 그게 뭐야?,의료급여수급권자는 보험료 할인이 되는 제도가 있다는데 그게 뭐야?,내국인 성인 의료급여 수급권자 보험료 할인 우편 신청시 필요서류는?,의료수급권자 실손보험료 할인 신청은 계약자가 하는 거 맞죠?
33,APL(자동대출납입)신청,대출,5,"APL 등록 중, 약관대출 가능금액 부족으로 실효가 되었습니다. 부활 후에도 APL유지되나요?","APL 등록 중, 약관대출 가능금액 부족으로 실효가 되었습니다. 부활 후에도 APL유지되나요?",기 약관대출금이 있는 경우에는 APL 발생시 1회분 보험료와 이자를 합산하여 자동 대출이 발생 되는 건가요?,APL 최초 자동 대출 월로부터 1년 이후 재 신청은 무엇 인가요?
34,품질보증해지,민원,5,품질가능해지 가능 기간은?,품질가능해지 가능 기간은?,품질가능해지 가능 조건은?,품질 보증해지 접수 시 결과 및 소요 시간은?
35,연금정정 (연금계약변경),연금,5,연금개시 안내문은 언제 발송 되나요?,연금개시 안내문은 언제 발송 되나요?,연금개시시점에 약관대출금 존재 시에는 연금개시금액은 어떻게 되나요?,연금 지급 일자에 미 지급 되었을 경우 공시이율로 적용 되나요?
36,직종(직무)&운전차종 변경,계약정보,4,"보험 대상자의 직업, 운전차종 변경통지 구비서류를 알려주세요","보험 대상자의 직업, 운전차종 변경통지 구비서류를 알려주세요",직무직종 통지 의무 대상 상품은 무엇인가요?,직무직종변경 신고를 할때 어떤 내용을 알려야 해?
37,(면대면채널)연금신청,연금,4,연금신청권자는 누구인가,연금신청권자는 누구인가,연금 개시 후 피보험자 사망 시 수익자는 누구인가요?,연금 개시 후 피보험자 사망 청구 건의 일시금 요청 시 구비 서류는 어떻게 되나요?
38,납입기간변경,계약정보,3,납입기간 단축으로 추징금이 발생하면 어떻게 납부하지?,납입기간 단축으로 추징금이 발생하면 어떻게 납부하지?,기대출금이 있는 계약은 납입기간 변경 시 대출금 상환해야 하나?,납입기간 변경 시 저축성 상품에 대해 추징금은 카드납부가 가능한가요?
39,(통신채널) 신계약 미결,신계약 미결,3,계약상태 10이 어떤 상태?,계약상태 10이 어떤 상태?,보험 계약 반송 안내문을 받았는데 무엇인지 문의한 경우?,"통신채널 청약 당시 부담보 설정 된 부위 완치 후 부담보 해제 가능하다고 안내 받았다고 하는 경우, 접수 및 검토 가능 조건은?"
40,잔액증명서 발급,증명서 안내장,3,변액 상품 계속보험료 잔액증명서 발행 기준은?,변액 상품 계속보험료 잔액증명서 발행 기준은?,기준일을 과거로 해서 잔액증명서 발급 가능한가요?,전산의 해지(해약)환급금과 잔액증명서의 해지(해약)환급금이 왜 다르죠?
41,갱신불원,계약정보,2,갱신불원 접수 가능기간을 알려주세요,갱신불원 접수 가능기간을 알려주세요,미성년자계약 갱신불원 전화접수 방법은 어떻게 되나요?,
42,재단출연 휴면보험금,제지급,2,휴면보험금 전화 접수할 때 수령계좌는 본인계좌만 아능할까?,휴면보험금 전화 접수할 때 수령계좌는 본인계좌만 아능할까?,당사에서 안내한 휴면보험금 금액과 서민금융진흥원을 통해 접수해서 지급받은 금액이 차이가 나는데 왜 그럴까요?,
43,EIUL 지수 기간 연장,계약정보,1,지수연동 기간 연장 최대 기한은?,지수연동 기간 연장 최대 기한은?,,
44,UL 약정보험료,계약정보,1,에버래스팅보험 약정보험료 변경할 수 있는 한도가 있어?,에버래스팅보험 약정보험료 변경할 수 있는 한도가 있어?,,
45,자동이체해지,보험료납입,1,일시납입중지 시 자동이체 해지해야 하나요?,일시납입중지 시 자동이체 해지해야 하나요?,,
46,PUL 월 추가 납입,보험료납입,1,PUL 모든 상품은 관리 대출금이 있나요?,PUL 모든 상품은 관리 대출금이 있나요?,,
47,PUL/SUL수시추가 납입,보험료납입,1,(무) 안심플러스인덱스유니버셜 상품의 수시추가납입 조건은?,(무) 안심플러스인덱스유니버셜 상품의 수시추가납입 조건은?,,
