[ QA Check & Talk Point ],,,,,,
No.,목차,Check Point,,Talk (example),,,고객예상질문1,고객예상질문2,고객예상질문3
,,"5. 승인일 안내 및 이체금액 안내 
5-1. 납입방법 변경시 자동이체 할인 미적용에 대한 안내 
5-2. 미납 분 있을 시 추가 청구일자 안내 ",,"OO월부터 변경된 카드에서 보험료 000원이 승인 될 예정이며, 승인일은 공통적으로 매월 20일입니다. (미납 있을 시 추가 청구일자 안내)
(E->C 경우) [2019.04.01일 이전 계약] 카드 결제시 자동이체 할인 적용이 되지 않습니다.
",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"6. 신한/ 삼성무승인/ 비씨/ 하나/ 농협/ 롯데 / 현대카드 자동승계 안내
(삼성무승인,신한카드는 가족카드,체크카드 제외, BC ,하나,농협 카드는 가족카드 제외)",,"※ 신한/ 삼성무승인/ 비씨/ 하나/ 농협/ 롯데 / 현대 카드납 자동 승계됨 안내 필수 
OO카드는 납입카드가 카드분실, 유효기간 만료 등으로 결제 불가 시, 재발급된 OO카드 또는 납입자의 다른 OO카드로 자동 승인 됩니다. 다만 각 카드사의 정책에 따라 일부 카드는 자동 승인이 제한될 수 있습니다.(체크카드, 가족카드 등)",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,7. 변경 요청 건 이외에 추가 변경 사항 여부 확인 ,,요청하신 계약 건 외에 다른 변경 할 계약 건은 없으십니까?,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
5,"(대면 _ 20.09.10 이전)
카드 자동이체","1. 총 가입 건 수 안내 및 변경 요청 계약 확인  
※ 계좌 > 카드 납 변경 시 : 카드로 보험료 납입 시 자동이체 할인 적용 안됨 안내 필수  (저축성 보험은 카드납입 불가)",,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"2. 새로운 카드 '본인 명의’여부 및 WL 검증
※ 계약자 인입번호와 등록번호 일치여부 확인 후 진행
2-1. 본인 명의 카드 아닐 경우 가능 범위 확인 ",,"변경 할 카드가 계약자님 본인 카드 입니까?
(내국인의 경우) 당연하시겠지만 고객님의 국적과 실제 거주하시는 곳이 모두 한국 맞으십니까?
(외국인인 경우) 실례지만 국적이 어떻게 되십니까? 실제 거주하시는 곳이 어떻게 되십니까? 영문 성함을 말씀 해주실 수 있을까요?",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",적용 시점과 청구 일정은 어떻게 되나요?
,,"3. 카드명, 카드번호, 유효기간, 희망월 안내
※ 예금주≠계약자인 경우, 예금주 주민등록번호 확인 및 WL 검증
※ 계약자 인입번호와 등록번호 일치여부 확인 후 진행",,"변경 할 카드사명과 카드번호,유효기간 말씀 부탁 드립니다. (복창)
카드 승인일은 매월 00일 입니다 (2020.09.10일 이전 계약은 10,15,20,25 중 선택 가능. 말일자 선안내X)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"4. 승인일 안내 및 이체금액 안내 
4-1. 미납 분 있을 시 추가 청구일자 및 당월 분과 합산 결제 가능 일정 안내  ",,"처리 완료되면 매월 OO일에 총 \OO,OOO의 보험료가 승인 될 예정이고요. 
해당 일에 미승인일 경우 말일까지 매영업일 재승인 신청 됩니다.
 (2020.09.10일 이전 계약은 10,15,20,25,말일 재청구)
카드 승인이 완료 된 이후에 승인취소는 가능하지 않사오니 참고 부탁 드립니다.~ 혹시 등록 처리 중 오류사항이 있으면 확인 전화 드리겠습니다. ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
6,"휴대폰 소액결제
자동이체",1. 총 가입 건 수 안내 및 변경 요청 계약 확인 ,,,,,주소나 연락처 변경은 어떻게 진행하면 되나요?,본인확인 방법과 필요한 정보를 알려주세요.,변경 반영은 언제부터 확인할 수 있나요?
,,2. 예금주 확인,,"계약자님 본인 명의 휴대폰이신가요? (yes) 
통신사가 어떻게 되세요?
(내국인의 경우) 당연하시겠지만 고객님의 국적과 실제 거주하시는 곳이 모두 한국 맞으십니까?
(외국인인 경우) 실례지만 국적이 어떻게 되십니까? 실제 거주하시는 곳이 어떻게 되십니까? 영문 성함을 말씀 해주실 수 있을까요? ",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",변경 반영은 언제부터 확인할 수 있나요?
,,"3-1. (VDIP 상품 가입 & 바이탈리티 1.1 회비 납부중인 경우) 바이탈리티 회비납부휴대폰 정보 변경여부 확인
3-2.(납입자) 2연체 휴대폰결제 서비스 등록 여부 확인",,"바이탈리티 회비 납부중인 휴대폰 번호도 함께 변경 하시겠어요? 
참고로 보험의 실효를 방지하기 위한 서비스로, 전월 보험료가 당월 말일까지 자동으로 납부되지 않을 경우에 한하여 익월 2영업일에 휴대폰 소액결제서비스로 보험료가 납입되도록 설정 해 드리고자 하는데 동의하시나요?",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",변경 반영은 언제부터 확인할 수 있나요?
,,"4. 등록 정보 및 동의 확인
※ 예금주≠계약자인 경우, 예금주 주민등록번호 확인 및 WL 검증",,"등록할 휴대폰번호를 말씀해 주시겠습니까?
1. ooo보험계약의 ___(업무) 관련으로, 납입자 신분확인을 위해 귀하의 성명, 통신사, 휴대폰번호, 생년월일, 성별, 내외국인 구분 정보, 계약자와의 관계 등을 수집, 이용하는 것에 동의하고, 위 정보를 PG사, 통신사에 제공함에 동의하십니까? (YES)
2. 동의하신 사항과 같은 목적으로 귀하의 주민등록번호를 처리하는데 동의하십니까? (YES)
3. 통신사 변경 등으로 보험료 결제 실패 시 회사가 새로운 통신사를 연결하여 기존 휴대전화 번호로 보험료를 계속 결제하는 것에 동의 하십니까?  (yes) 
자동이체 등록이 되면 통신사에서 승인 문자가 발송되니 참고 하시기 바랍니다.",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,5. 결제 안내,,"00월부터 매월 20일에 보험료 \--,---원이 등록한 휴대폰에서 소액결제 처리 되고, (20일만 선택 가능)
20일에 결제가 되지 않는 경우 해당월의 25일과 말일자에 재승인 요청 됩니다.
*변경 당시 해당 계약의 최종납월 이후 부터 소액결제 됨
(실시간 처리이므로, 결제일 20일 당일 변경 시에도 최종납월 기준으로 반영)
*전월 보험료 미납 있는 경우당 두 달 분 승인 안내",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,본인확인 방법과 필요한 정보를 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
7,자동이체해지,1. 총 가입 건 수 안내 및 해지 요청 계약 확인,,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"2. 자동이체 해지 사유 탐색 및 1차 반려 (자동이체 할인 미적용 / 매월 직접 납부 등)
2-1. (자동이체 해지 요청 시) 납부 예정일 확인",,"2-1. 실례지만~ 자동이체를 해지 하시는 사유가 어떻게 되십니까? 
자동이체를 중지 하시면 매월 보험료를 가상계좌로 입금하거나, 즉시이체 하는 방법으로 직접 납입 하셔야 하기 때문에 불편하실 수 있습니다. 
[2019.04.01일 이전 계약한 보장성보험] 또한 자동이체 이용에 따른 보험료 할인이 적용 되지 않는데 괜찮으십니까?
2-2. 혹시 납부 예정일이 어떻게 되십니까? (10, 15, 20, 25일 중 가까운 날짜로 선택 입력. 대답회피 또는 거절하는 경우 30일로 입력)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"3. (의무납입기간 경과 건) 저축성 상품은 해지환급금(or 적립금)에서 계약일에 월대체되며, 장기 미납 시 실효 가능 안내(해지 예정 건, 납입 중단 건도 포함)
3-1. 일반 상품, 의무납입기간 이전 저축성 상품 2개월 미납 시 실효가능 안내",,"3. 해당 상품은 보험료가 납입되지 않더라도 해지환급금(or 적립금)에서 매월 위험보험료와 보험유지비가 대체되면서 계약이 유지되며, 장기간 보험료 납입을 하지 않을 경우 대체할 수 있는 해지환급금(or 적립금)이 소진되어 보험효력이 상실(실효)될 수 있습니다.
3-1. 현재 O월분까지 납부되어 O월 분 보험료가 O월 말일까지 미납 될 경우, O월 1일자로 해당 보험 계약의 효력이 상실(실효)되오니 확인 부탁 드립니다.",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"4-1. (기대출금 있는 경우) 보험계약대출금 이자 계좌 해지 여부 확인
4-2.2연체 휴대폰결제 서비스 등록 해제 안내",,"기존에 대출 이자 납부하시는 계좌도 자동이체 해지 하시겠습니까?
고객님 현재 이용 중이신 휴대폰 소액결제서비스도 자동으로 해지가 됩니다. ",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,본인확인 방법과 필요한 정보를 알려주세요.,변경 반영은 언제부터 확인할 수 있나요?
,,5. (월 추가납입 건) 추가납입 분 출금 안 됨 안내,,현재 월 추가납입 등록되어 있으나 자동이체 해지시 동일하게 출금되지 않습니다.,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,6. 자동이체일 전일 - 출금된 보험료 영업일 2~3일 이내 반환 안내,,자동이체 해지로 익일 보험료 출금될 경우 평일기준 2~3일 이내 반환가능합니다.,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"7. 다른 납부 방법 안내 (자동이체 연결, 가상계좌, RTB) ",,"이 후 보험료 납부는 고객님의 입금전용계좌(가상 계좌)나 즉시이체를 통해 매월 말일까지 직접 납부 하실 수 있으며, 자동이체 재 연결 또한 가능 하오니 언제든지 연락 주시기 바랍니다.",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,8. 최종 납월 및 납입중단 적용 월 안내,,"현재 O월분 보험료까지 납입되었으며, O월부터는 자동이체 되지 않습니다.",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,※ (C->D 경우) 카드 후불결제 안내 ,,전월(당월) 보험료는 이미 카드로 승인되어 다음달 카드사 결제내역에 포함될 수 있으니 참고 바랍니다,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
8,(의무납입기간 경과 건) 납입중지 신청,1. 총 계약 건 수 안내 및 해당 계약 건 확인,,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,2. 납입중단 적용 월 안내,,00월부터 보험료 납입이 중단 됩니다.,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,3. 납입중단 시 월대체 및 보장가능 안내 ,,"보험료를 의무적으로 납입해야 하는 기간이 지났기 때문에 이후 보험료를 납입하지 않더라도 매월 계약일자가 되는 날 주계약 해지환급금(or 적립금)에서 위험보장에 필요한 보험료와 계약유지에 필요한 금액(월대체보험료)이 차감되어 사용되기 때문에, 보험사고에 대한 보장(보험금청구)이 가능합니다. ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"4. 장기 중단 시 실효가능 안내
   (실효 시 부활 불가 건은 이에 대한 안내 포함)",,"대체 가능한 금액이 모두 없어지게 되면 실효되어 보장이 어렵고, 이 후에는 부활 신청을 하셔야 하오니 꼭 납입관리 꼭 부탁 드립니다.
(★단,  2014.09.30일까지 계약한「프라임변액평생설계보험」은 의무납입기간 60회차까지 납입이후 실효된 경우, 부활(효력회복)이 가능하지 않으므로 계약이 해지(실효)되지 않도록 관리 필요함 안내)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
9,일시납입중지 신청,1. 총 계약 건 수 안내 및 해당 계약 건 확인,,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,2. 일시납입중지 기간 확인,,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,3. 적용 월 안내,,현재 0월 보험료까지 납입되었기 때문에 일시 납입중지는 0월부터 가능합니다.,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,4. 일시납입중지 시 월대체 및 보장가능 안내 ,,"매월 계약일자가 되는 날에는 이 계약의 주계약 해지환급금에서 보장을 위한 위험보험료와 계약 유지를 위한 금액(월대체보험료)이 차감되어 사용되기 때문에, 납입중지 기간 중에도 보험사고 발생 시에는 보험금 청구가 가능합니다.",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,5. 해지환급금 감소 및 의무납입기간 연장(특약의 경우 해당 특약의 납입기간이 연장될 수 있음) 안내,,"대체 되는 금액 만큼 해지환급금은 줄어들 수 있고, 의무적으로 보험료를 납부해야 하는 기간과 납입완료 시점은 일시 납입중지 기간만큼 연기가 되는데요,",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,6. 보험료 납입 및 추가납입 불가 안내,,"중도에 보험료 납입을 원하실 경우에는 다시 전화 주셔서 일시납입중지를 취소 하신 후에 보험료 납입이 가능하고요, (월추가납입 중인 계약은 월추가납입이 자동 중지 되므로, 차 후 다시 신청해야 합니다)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,7. 일시납입 중지 자동취소 가능 및 실효가능 안내,,"월대체 보험료 공제가 어려운 경우 납입중지는 자동 취소되고, 기존 자동이체 계좌로 보험료가 청구 될 수 있으세요, 그리고 혹시 2개월 연속으로 월대체가 되지 않을 경우 보험이 실효되어 보장이 어렵고, 이 후 부활 신청을 하셔야 하오니  꼭 확인 부탁 드립니다. ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
10,"실손보험료
환급 신청",1. 총 가입 건 수 안내 및 요청 계약 확인 ,,"고객님 앞으로 된 계약 총 O건의 계약 중, 실손 보험(or 특약)인 OOO보험계약이 해당사항이 있는데요~ ",,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
